epsilon,rho,alfa,Eta_re,Eta_ce,Gamma_re,Gamma_ce,Nu_re,Nu_ce,k_re,k_ce,labor_growth_N,labor_growth_S,lambda_S,sigma_utility,size_factor,β_T,CO2_base,CO2_Disaster,qsi,δ_S,S_0,Yre_N_0,Yce_N_0,Yre_S_0,region,Yce_S_0
3.0,0.001,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,4,3.321932,381.243179,3645.17645,0.060625,0.001153,2867.159415,8.46526,61.65342,3.71644,eurafrica,23.2247
3.777777778,0.001,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,4,3.321932,381.243179,3645.17645,0.060625,0.001153,2867.159415,8.46526,61.65342,3.71644,eurafrica,23.2247
4.555555556,0.001,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,4,3.321932,381.243179,3645.17645,0.060625,0.001153,2867.159415,8.46526,61.65342,3.71644,eurafrica,23.2247
5.333333333,0.001,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,4,3.321932,381.243179,3645.17645,0.060625,0.001153,2867.159415,8.46526,61.65342,3.71644,eurafrica,23.2247
6.1111111110000005,0.001,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,4,3.321932,381.243179,3645.17645,0.060625,0.001153,2867.159415,8.46526,61.65342,3.71644,eurafrica,23.2247
6.8888888889999995,0.001,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,4,3.321932,381.243179,3645.17645,0.060625,0.001153,2867.159415,8.46526,61.65342,3.71644,eurafrica,23.2247
7.666666667,0.001,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,4,3.321932,381.243179,3645.17645,0.060625,0.001153,2867.159415,8.46526,61.65342,3.71644,eurafrica,23.2247
8.444444444,0.001,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,4,3.321932,381.243179,3645.17645,0.060625,0.001153,2867.159415,8.46526,61.65342,3.71644,eurafrica,23.2247
9.222222222000001,0.001,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,4,3.321932,381.243179,3645.17645,0.060625,0.001153,2867.159415,8.46526,61.65342,3.71644,eurafrica,23.2247
10.0,0.001,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,4,3.321932,381.243179,3645.17645,0.060625,0.001153,2867.159415,8.46526,61.65342,3.71644,eurafrica,23.2247
3.0,0.0045,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,4,3.321932,381.243179,3645.17645,0.060625,0.001153,2867.159415,8.46526,61.65342,3.71644,eurafrica,23.2247
3.777777778,0.0045,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,4,3.321932,381.243179,3645.17645,0.060625,0.001153,2867.159415,8.46526,61.65342,3.71644,eurafrica,23.2247
4.555555556,0.0045,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,4,3.321932,381.243179,3645.17645,0.060625,0.001153,2867.159415,8.46526,61.65342,3.71644,eurafrica,23.2247
5.333333333,0.0045,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,4,3.321932,381.243179,3645.17645,0.060625,0.001153,2867.159415,8.46526,61.65342,3.71644,eurafrica,23.2247
6.1111111110000005,0.0045,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,4,3.321932,381.243179,3645.17645,0.060625,0.001153,2867.159415,8.46526,61.65342,3.71644,eurafrica,23.2247
