,epsilon,rho,alfa,Eta_re,Eta_ce,Gamma_re,Gamma_ce,Nu_re,Nu_ce,k_re,k_ce,labor_growth_N,labor_growth_S,lambda_S,sigma_utility,size_factor,β_T,CO2_base,CO2_Disaster,qsi,δ_S,S_0,Yre_N_0,Yce_N_0,Yre_S_0,Yce_S_0,region
0,3.0,0.001,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,4,5.238090792566203,380.06567392995987,1750.4323392001709,0.13135290259407675,0.023310688270308508,176.83493370639374,8.823509999999997,68.43374,7.798989999999999,26.591690000000003,america
1,3.777777778,0.001,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,4,5.238090792566203,380.06567392995987,1750.4323392001709,0.13135290259407675,0.023310688270308508,176.83493370639374,8.823509999999997,68.43374,7.798989999999999,26.591690000000003,america
2,4.555555556,0.001,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,4,5.238090792566203,380.06567392995987,1750.4323392001709,0.13135290259407675,0.023310688270308508,176.83493370639374,8.823509999999997,68.43374,7.798989999999999,26.591690000000003,america
3,5.333333333,0.001,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,4,5.238090792566203,380.06567392995987,1750.4323392001709,0.13135290259407675,0.023310688270308508,176.83493370639374,8.823509999999997,68.43374,7.798989999999999,26.591690000000003,america
4,6.1111111110000005,0.001,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,4,5.238090792566203,380.06567392995987,1750.4323392001709,0.13135290259407675,0.023310688270308508,176.83493370639374,8.823509999999997,68.43374,7.798989999999999,26.591690000000003,america
5,6.888888889,0.001,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,4,5.238090792566203,380.06567392995987,1750.4323392001709,0.13135290259407675,0.023310688270308508,176.83493370639374,8.823509999999997,68.43374,7.798989999999999,26.591690000000003,america
6,7.666666667,0.001,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,4,5.238090792566203,380.06567392995987,1750.4323392001709,0.13135290259407675,0.023310688270308508,176.83493370639374,8.823509999999997,68.43374,7.798989999999999,26.591690000000003,america
7,8.444444444,0.001,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,4,5.238090792566203,380.06567392995987,1750.4323392001709,0.13135290259407675,0.023310688270308508,176.83493370639374,8.823509999999997,68.43374,7.798989999999999,26.591690000000003,america
8,9.222222222000001,0.001,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,4,5.238090792566203,380.06567392995987,1750.4323392001709,0.13135290259407675,0.023310688270308508,176.83493370639374,8.823509999999997,68.43374,7.798989999999999,26.591690000000003,america
9,10.0,0.001,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,4,5.238090792566203,380.06567392995987,1750.4323392001709,0.13135290259407675,0.023310688270308508,176.83493370639374,8.823509999999997,68.43374,7.798989999999999,26.591690000000003,america
10,3.0,0.0045,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,4,5.238090792566203,380.06567392995987,1750.4323392001709,0.13135290259407675,0.023310688270308508,176.83493370639374,8.823509999999997,68.43374,7.798989999999999,26.591690000000003,america
