,epsilon,rho,alfa,Eta_re,Eta_ce,Gamma_re,Gamma_ce,Nu_re,Nu_ce,k_re,k_ce,labor_growth_N,labor_growth_S,lambda_S,sigma_utility,size_factor,β_T,CO2_base,CO2_Disaster,qsi,δ_S,S_0,Yre_N_0,Yce_N_0,Yre_S_0,Yce_S_0,region
0,3.0,0.001,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,4,3.504844593336377,376.0095398527189,3685.529031718468,0.0988532482904189,0.00312313865383178,2128.9477370947334,10.7139,39.9564,5.54137,83.70293000000001,asia
1,3.777777778,0.001,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,4,3.504844593336377,376.0095398527189,3685.529031718468,0.0988532482904189,0.00312313865383178,2128.9477370947334,10.7139,39.9564,5.54137,83.70293000000001,asia
2,4.555555556,0.001,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,4,3.504844593336377,376.0095398527189,3685.529031718468,0.0988532482904189,0.00312313865383178,2128.9477370947334,10.7139,39.9564,5.54137,83.70293000000001,asia
3,5.333333333,0.001,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,4,3.504844593336377,376.0095398527189,3685.529031718468,0.0988532482904189,0.00312313865383178,2128.9477370947334,10.7139,39.9564,5.54137,83.70293000000001,asia
4,6.1111111110000005,0.001,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,4,3.504844593336377,376.0095398527189,3685.529031718468,0.0988532482904189,0.00312313865383178,2128.9477370947334,10.7139,39.9564,5.54137,83.70293000000001,asia
5,6.888888889,0.001,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,4,3.504844593336377,376.0095398527189,3685.529031718468,0.0988532482904189,0.00312313865383178,2128.9477370947334,10.7139,39.9564,5.54137,83.70293000000001,asia
6,7.666666667,0.001,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,4,3.504844593336377,376.0095398527189,3685.529031718468,0.0988532482904189,0.00312313865383178,2128.9477370947334,10.7139,39.9564,5.54137,83.70293000000001,asia
7,8.444444444,0.001,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,4,3.504844593336377,376.0095398527189,3685.529031718468,0.0988532482904189,0.00312313865383178,2128.9477370947334,10.7139,39.9564,5.54137,83.70293000000001,asia
8,9.222222222000001,0.001,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,4,3.504844593336377,376.0095398527189,3685.529031718468,0.0988532482904189,0.00312313865383178,2128.9477370947334,10.7139,39.9564,5.54137,83.70293000000001,asia
9,10.0,0.001,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,4,3.504844593336377,376.0095398527189,3685.529031718468,0.0988532482904189,0.00312313865383178,2128.9477370947334,10.7139,39.9564,5.54137,83.70293000000001,asia
10,3.0,0.0045,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,4,3.504844593336377,376.0095398527189,3685.529031718468,0.0988532482904189,0.00312313865383178,2128.9477370947334,10.7139,39.9564,5.54137,83.70293000000001,asia
11,3.777777778,0.0045,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,4,3.504844593336377,376.0095398527189,3685.529031718468,0.0988532482904189,0.00312313865383178,2128.9477370947334,10.7139,39.9564,5.54137,83.70293000000001,asia
12,4.555555556,0.0045,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,4,3.504844593336377,376.0095398527189,3685.529031718468,0.0988532482904189,0.00312313865383178,2128.9477370947334,10.7139,39.9564,5.54137,83.70293000000001,asia
13,5.333333333,0.0045,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,4,3.504844593336377,376.0095398527189,3685.529031718468,0.0988532482904189,0.00312313865383178,2128.9477370947334,10.7139,39.9564,5.54137,83.70293000000001,asia
14,6.1111111110000005,0.0045,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,4,3.504844593336377,376.0095398527189,3685.529031718468,0.0988532482904189,0.00312313865383178,2128.9477370947334,10.7139,39.9564,5.54137,83.70293000000001,asia
15,6.888888889,0.0045,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,4,3.504844593336377,376.0095398527189,3685.529031718468,0.0988532482904189,0.00312313865383178,2128.9477370947334,10.7139,39.9564,5.54137,83.70293000000001,asia
16,7.666666667,0.0045,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,4,3.504844593336377,376.0095398527189,3685.529031718468,0.0988532482904189,0.00312313865383178,2128.9477370947334,10.7139,39.9564,5.54137,83.70293000000001,asia
17,8.444444444,0.0045,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,4,3.504844593336377,376.0095398527189,3685.529031718468,0.0988532482904189,0.00312313865383178,2128.9477370947334,10.7139,39.9564,5.54137,83.70293000000001,asia
18,9.222222222000001,0.0045,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,4,3.504844593336377,376.0095398527189,3685.529031718468,0.0988532482904189,0.00312313865383178,2128.9477370947334,10.7139,39.9564,5.54137,83.70293000000001,asia
