gcm,region,beta_delta_temp,co2_base,co2_disaster,delta_temp_disaster,qsi,delta_s,Yre_N_0,Yce_N_0,Yre_S_0,Yce_S_0,S_0
CESM2-WACCM,america,5.238090792566205,380.0656739299596,1750.432339200168,8.0,0.0328382256485191,0.0012366501609367,5.402921807766888,69.50756626665238,6.202812499276799,25.470303966092956,1322.536067157269
CESM2-WACCM,asia,5.391266122361606,380.045393585297,1676.011581395193,8.0,0.025260423094237,0.0013605866198733,2.4692242653726093,35.20494694963199,8.47194798812129,89.87610165191172,1282.0536375800766
CESM2-WACCM,eurafrica,5.299540756339408,380.0521806781624,1719.645298153347,8.0,0.0303418344260333,0.0012449079258612,7.381802124495326,62.87160225878032,2.507864237733585,22.408105952799133,1298.0966953963368
Ensemble,america,4.313860949238833,378.02870611252706,2866.5477348138966,8.0,0.03253090133816745,0.000850484072573,6.109636097049217,69.59946694639876,6.387638590644535,25.41146551115532,2456.7774197338017
Ensemble,asia,4.448055357848991,378.027466719008,2680.7703065568303,8.0,0.02498686758342085,0.00094218821815315,2.4685626343919767,35.174581459737524,8.477911319560448,89.933698970465,2303.982393740219
Ensemble,eurafrica,4.471649838120392,378.01864890427964,2548.899326715395,8.0,0.03008245536986195,0.00089744993619065,9.867010598147576,62.79612779034758,2.168285039195468,22.59141580159293,2140.4060136029243
GFDL-ESM4,america,3.389631105911461,375.9917382950945,3982.663130427625,8.0,0.0322235770278158,0.0004643179842093,6.152787975091771,69.51229563738264,7.055316383642533,25.39714797899765,3562.1765406893755
GFDL-ESM4,asia,3.504844593336377,376.0095398527189,3685.529031718468,8.0,0.0247133120726047,0.000523789816433,2.4102732210815785,35.042827076582284,8.457105324200718,89.90761904819965,3297.717491068358
GFDL-ESM4,eurafrica,3.643758919901376,375.9851171303969,3378.153355277443,8.0,0.0298230763136906,0.0005499919465201,7.899492177259462,63.15960632789702,2.614872245535048,22.411884454882664,2963.5573914761376
