year,region,energia,value
2002,America,fosil,113.2721
2002,Asia-Oceania,fosil,131.56092
2002,Eurafrica,fosil,104.32140000000001
2003,America,fosil,114.33524999999999
2003,Asia-Oceania,fosil,140.79819
2003,Eurafrica,fosil,107.42859
2004,America,fosil,117.00676
2004,Asia-Oceania,fosil,152.9638
2004,Eurafrica,fosil,109.40319000000001
2005,America,fosil,117.72825999999999
2005,Asia-Oceania,fosil,163.84184
2005,Eurafrica,fosil,110.07613
2006,America,fosil,117.64224
2006,Asia-Oceania,fosil,173.78843
2006,Eurafrica,fosil,111.01985
2007,America,fosil,119.47335
2007,Asia-Oceania,fosil,182.58124
2007,Eurafrica,fosil,111.10198
2008,America,fosil,117.46583
2008,Asia-Oceania,fosil,188.21494
2008,Eurafrica,fosil,112.42071999999999
2009,America,fosil,111.55144
2009,Asia-Oceania,fosil,196.72681
2009,Eurafrica,fosil,103.39134
2010,America,fosil,116.26926
2010,Asia-Oceania,fosil,210.56365
2010,Eurafrica,fosil,109.4313
2011,America,fosil,115.77618
2011,Asia-Oceania,fosil,222.85926999999998
2011,Eurafrica,fosil,108.06058
2012,America,fosil,114.84215
2012,Asia-Oceania,fosil,227.25261
2012,Eurafrica,fosil,108.22853
1980,America,carbon,24.383670000000002
1980,America,gas,16.90782
1980,America,petroleo,48.17045
1980,Asia-Oceania,carbon,4.14401
1980,Asia-Oceania,gas,19.972
1980,Asia-Oceania,petroleo,27.99887
1980,Eurafrica,carbon,25.33712
1980,Eurafrica,gas,33.04565
1980,Eurafrica,petroleo,55.340799999999994
1981,America,carbon,24.0041
1981,America,gas,17.41956
1981,America,petroleo,45.254039999999996
1981,Asia-Oceania,carbon,4.26288
1981,Asia-Oceania,gas,20.70016
1981,Asia-Oceania,petroleo,27.54136
1981,Eurafrica,carbon,25.62772
1981,Eurafrica,gas,33.254870000000004
1981,Eurafrica,petroleo,51.737970000000004
1982,America,carbon,22.8305
1982,America,gas,16.91441
1982,America,petroleo,43.12655
1982,Asia-Oceania,carbon,4.23002
1982,Asia-Oceania,gas,21.77862
1982,Asia-Oceania,petroleo,27.30934
1982,Eurafrica,carbon,26.99273
1982,Eurafrica,gas,33.80688
1982,Eurafrica,petroleo,51.40001
1983,America,carbon,21.69494
1983,America,gas,17.6063
1983,America,petroleo,42.24262
1983,Asia-Oceania,carbon,4.72295
1983,Asia-Oceania,gas,22.971880000000002
1983,Asia-Oceania,petroleo,27.7598
1983,Eurafrica,carbon,28.73262
1983,Eurafrica,gas,33.9775
1983,Eurafrica,petroleo,50.29083
1984,America,carbon,23.33128
1984,America,gas,18.962670000000003
1984,America,petroleo,43.54409
1984,Asia-Oceania,carbon,5.82545
1984,Asia-Oceania,gas,25.617050000000003
1984,Asia-Oceania,petroleo,28.72899
1984,Eurafrica,carbon,31.687839999999998
1984,Eurafrica,gas,34.44092
1984,Eurafrica,petroleo,50.53969
1985,America,carbon,22.88883
1985,America,gas,19.42055
1985,America,petroleo,43.40909
1985,Asia-Oceania,carbon,6.65677
1985,Asia-Oceania,gas,27.45193
1985,Asia-Oceania,petroleo,28.903950000000002
1985,Eurafrica,carbon,33.82656
1985,Eurafrica,gas,35.51611
1985,Eurafrica,petroleo,50.44891
1986,America,carbon,21.64814
1986,America,gas,19.14318
1986,America,petroleo,45.32782
1986,Asia-Oceania,carbon,7.21613
1986,Asia-Oceania,gas,28.61981
1986,Asia-Oceania,petroleo,30.06907
1986,Eurafrica,carbon,35.36053
1986,Eurafrica,gas,35.93547
1986,Eurafrica,petroleo,51.632870000000004
1987,America,carbon,22.6079
1987,America,gas,20.046139999999998
1987,America,petroleo,46.42955
1987,Asia-Oceania,carbon,7.97338
1987,Asia-Oceania,gas,30.0587
1987,Asia-Oceania,petroleo,31.23257
1987,Eurafrica,carbon,36.97921
1987,Eurafrica,gas,36.276650000000004
1987,Eurafrica,petroleo,51.8121
1988,America,carbon,23.79038
1988,America,gas,21.03512
1988,America,petroleo,48.097590000000004
1988,Asia-Oceania,carbon,8.78183
1988,Asia-Oceania,gas,32.13334
1988,Asia-Oceania,petroleo,33.28746
1988,Eurafrica,carbon,38.43992
1988,Eurafrica,gas,35.89584
1988,Eurafrica,petroleo,52.10524
1989,America,carbon,25.291850000000004
1989,America,gas,21.26964
1989,America,petroleo,48.44047
1989,Asia-Oceania,carbon,9.45955
1989,Asia-Oceania,gas,32.54956
1989,Asia-Oceania,petroleo,35.09202
1989,Eurafrica,carbon,39.47884
1989,Eurafrica,gas,35.08279
1989,Eurafrica,petroleo,51.69592
1990,America,carbon,25.234759999999998
1990,America,gas,21.12713
1990,America,petroleo,47.82065
1990,Asia-Oceania,carbon,10.05383
1990,Asia-Oceania,gas,32.95308
1990,Asia-Oceania,petroleo,36.86248
1990,Eurafrica,carbon,39.991659999999996
1990,Eurafrica,gas,34.998830000000005
1990,Eurafrica,petroleo,51.33032
1991,America,carbon,25.88454
1991,America,gas,21.086109999999998
1991,America,petroleo,47.37614
1991,Asia-Oceania,carbon,10.62256
1991,Asia-Oceania,gas,34.293710000000004
1991,Asia-Oceania,petroleo,38.23657
1991,Eurafrica,carbon,40.42798
1991,Eurafrica,gas,30.6226
1991,Eurafrica,petroleo,51.5154
1992,America,carbon,26.75537
1992,America,gas,21.252139999999997
1992,America,petroleo,48.39546000000001
1992,Asia-Oceania,carbon,14.28801
1992,Asia-Oceania,gas,36.96564
1992,Asia-Oceania,petroleo,42.38933
1992,Eurafrica,carbon,35.97881
1992,Eurafrica,gas,26.50562
1992,Eurafrica,petroleo,46.8001
1993,America,carbon,27.54693
1993,America,gas,21.9107
1993,America,petroleo,46.91748
1993,Asia-Oceania,carbon,14.634220000000001
1993,Asia-Oceania,gas,38.1475
1993,Asia-Oceania,petroleo,39.57882
1993,Eurafrica,carbon,36.46712
1993,Eurafrica,gas,25.3365
1993,Eurafrica,petroleo,41.8793
1994,America,carbon,28.35249
1994,America,gas,21.99231
1994,America,petroleo,50.472210000000004
1994,Asia-Oceania,carbon,15.52353
1994,Asia-Oceania,gas,39.901089999999996
1994,Asia-Oceania,petroleo,46.49205
1994,Eurafrica,carbon,35.02087
1994,Eurafrica,gas,24.09618
1994,Eurafrica,petroleo,43.09343
1995,America,carbon,29.56631
1995,America,gas,22.22754
1995,America,petroleo,50.598620000000004
1995,Asia-Oceania,carbon,16.27598
1995,Asia-Oceania,gas,41.79056
1995,Asia-Oceania,petroleo,48.44222
1995,Eurafrica,carbon,35.402049999999996
1995,Eurafrica,gas,23.58926
1995,Eurafrica,petroleo,43.28921
1996,America,carbon,30.30252
1996,America,gas,23.263789999999997
1996,America,petroleo,52.437340000000006
1996,Asia-Oceania,carbon,17.7502
1996,Asia-Oceania,gas,43.05003
1996,Asia-Oceania,petroleo,50.11757
1996,Eurafrica,carbon,35.22824
1996,Eurafrica,gas,23.74647
1996,Eurafrica,petroleo,43.04074
1997,America,carbon,30.607889999999998
1997,America,gas,23.95603
1997,America,petroleo,53.69651
1997,Asia-Oceania,carbon,18.78792
1997,Asia-Oceania,gas,42.49173
1997,Asia-Oceania,petroleo,52.03634
1997,Eurafrica,carbon,34.05593
1997,Eurafrica,gas,23.03051
1997,Eurafrica,petroleo,43.19674
1998,America,carbon,30.45389
1998,America,gas,24.249330000000004
1998,America,petroleo,54.93537
1998,Asia-Oceania,carbon,19.17651
1998,Asia-Oceania,gas,42.81722
1998,Asia-Oceania,petroleo,51.70155
1998,Eurafrica,carbon,34.52688
1998,Eurafrica,gas,22.03284
1998,Eurafrica,petroleo,43.68389
1999,America,carbon,30.749470000000002
1999,America,gas,24.18092
1999,America,petroleo,56.1999
1999,Asia-Oceania,carbon,20.2713
1999,Asia-Oceania,gas,43.988350000000004
1999,Asia-Oceania,petroleo,53.7897
1999,Eurafrica,carbon,35.33959
1999,Eurafrica,gas,22.37602
1999,Eurafrica,petroleo,43.30258
2000,America,carbon,31.9117
2000,America,gas,25.249769999999998
2000,America,petroleo,56.877669999999995
2000,Asia-Oceania,carbon,21.37579
2000,Asia-Oceania,gas,47.24994
2000,Asia-Oceania,petroleo,55.25425
2000,Eurafrica,carbon,36.49637
2000,Eurafrica,gas,22.89557
2000,Eurafrica,petroleo,43.14953
2001,America,carbon,31.28302
2001,America,gas,24.30031
2001,America,petroleo,56.951589999999996
2001,Asia-Oceania,carbon,22.17974
2001,Asia-Oceania,gas,48.72246
2001,Asia-Oceania,petroleo,55.70594
2001,Eurafrica,carbon,36.93516
2001,Eurafrica,gas,22.55363
2001,Eurafrica,petroleo,43.78829
2002,America,carbon,32.14443
2002,America,gas,24.354760000000002
2002,America,petroleo,56.772909999999996
2002,Asia-Oceania,carbon,23.93592
2002,Asia-Oceania,gas,50.51995
2002,Asia-Oceania,petroleo,57.10505
2002,Eurafrica,carbon,37.98798
2002,Eurafrica,gas,22.50645
2002,Eurafrica,petroleo,43.82697
2003,America,carbon,31.956429999999997
2003,America,gas,24.91427
2003,America,petroleo,57.464549999999996
2003,Asia-Oceania,carbon,24.96873
2003,Asia-Oceania,gas,56.7355
2003,Asia-Oceania,petroleo,59.09396
2003,Eurafrica,carbon,39.67967
2003,Eurafrica,gas,23.39411
2003,Eurafrica,petroleo,44.35481
2004,America,carbon,32.41737
2004,America,gas,25.03595
2004,America,petroleo,59.55344
2004,Asia-Oceania,carbon,26.62271
2004,Asia-Oceania,gas,64.25863
2004,Asia-Oceania,petroleo,62.08246
2004,Eurafrica,carbon,40.967710000000004
2004,Eurafrica,gas,23.43614
2004,Eurafrica,petroleo,44.999340000000004
2005,America,carbon,32.006119999999996
2005,America,gas,25.471529999999998
2005,America,petroleo,60.25061
2005,Asia-Oceania,carbon,29.0681
2005,Asia-Oceania,gas,70.00174
2005,Asia-Oceania,petroleo,64.772
2005,Eurafrica,carbon,41.54273
2005,Eurafrica,gas,22.89732
2005,Eurafrica,petroleo,45.63608
2006,America,carbon,32.40594
2006,America,gas,25.11823
2006,America,petroleo,60.11807
2006,Asia-Oceania,carbon,31.39084
2006,Asia-Oceania,gas,75.70889
2006,Asia-Oceania,petroleo,66.6887
2006,Eurafrica,carbon,41.61079
2006,Eurafrica,gas,23.58532
2006,Eurafrica,petroleo,45.82374
2007,America,carbon,33.56491
2007,America,gas,25.40476
2007,America,petroleo,60.50368
2007,Asia-Oceania,carbon,33.68334
2007,Asia-Oceania,gas,80.52764
2007,Asia-Oceania,petroleo,68.37026
2007,Eurafrica,carbon,41.72741
2007,Eurafrica,gas,23.73433
2007,Eurafrica,petroleo,45.64024
2008,America,carbon,34.00816
2008,America,gas,25.042070000000002
2008,America,petroleo,58.4156
2008,Asia-Oceania,carbon,35.60506
2008,Asia-Oceania,gas,83.6009
2008,Asia-Oceania,petroleo,69.00898000000001
2008,Eurafrica,carbon,42.88012
2008,Eurafrica,gas,23.43934
2008,Eurafrica,petroleo,46.101259999999996
2009,America,carbon,33.33711
2009,America,gas,22.026780000000002
2009,America,petroleo,56.187549999999995
2009,Asia-Oceania,carbon,36.83543
2009,Asia-Oceania,gas,89.99933
2009,Asia-Oceania,petroleo,69.89205
2009,Eurafrica,carbon,38.53784
2009,Eurafrica,gas,20.742079999999998
2009,Eurafrica,petroleo,44.11142
2010,America,carbon,35.098780000000005
2010,America,gas,23.39703
2010,America,petroleo,57.773450000000004
2010,Asia-Oceania,carbon,40.12457
2010,Asia-Oceania,gas,96.65546
2010,Asia-Oceania,petroleo,73.78362
2010,Eurafrica,carbon,42.40947
2010,Eurafrica,gas,22.03642
2010,Eurafrica,petroleo,44.98541
2011,America,carbon,36.230290000000004
2011,America,gas,22.183359999999997
2011,America,petroleo,57.36253
2011,Asia-Oceania,carbon,43.14962
2011,Asia-Oceania,gas,103.8553
2011,Asia-Oceania,petroleo,75.85435
2011,Eurafrica,carbon,41.33612
2011,Eurafrica,gas,22.44179
2011,Eurafrica,petroleo,44.28267
2012,America,carbon,38.07389
2012,America,gas,19.816720000000004
2012,America,petroleo,56.95154
2012,Asia-Oceania,carbon,44.74062
2012,Asia-Oceania,gas,103.59328000000001
2012,Asia-Oceania,petroleo,78.91871
2012,Eurafrica,carbon,41.18001
2012,Eurafrica,gas,23.35041
2012,Eurafrica,petroleo,43.69811
