year,region,energia,value
1980,America,fosil,89.46194
1980,Asia-Oceania,fosil,52.11488
1980,Eurafrica,fosil,113.72357
1981,America,fosil,86.6777
1981,Asia-Oceania,fosil,52.504400000000004
1981,Eurafrica,fosil,110.62056000000001
1982,America,fosil,82.87146
1982,Asia-Oceania,fosil,53.31798
1982,Eurafrica,fosil,112.19962000000001
1983,America,fosil,81.54386
1983,Asia-Oceania,fosil,55.45463
1983,Eurafrica,fosil,113.00094999999999
1984,America,fosil,85.83804
1984,Asia-Oceania,fosil,60.171490000000006
1984,Eurafrica,fosil,116.66844999999999
1985,America,fosil,85.71847
1985,Asia-Oceania,fosil,63.01265000000001
1985,Eurafrica,fosil,119.79158
1986,America,fosil,86.11914
1986,Asia-Oceania,fosil,65.90501
1986,Eurafrica,fosil,122.92887
1987,America,fosil,89.08359
1987,Asia-Oceania,fosil,69.26465
1987,Eurafrica,fosil,125.06796
1988,America,fosil,92.92309
1988,Asia-Oceania,fosil,74.20263
1988,Eurafrica,fosil,126.441
1989,America,fosil,95.00196
1989,Asia-Oceania,fosil,77.10113
1989,Eurafrica,fosil,126.25755000000001
1990,America,fosil,94.18254
1990,Asia-Oceania,fosil,79.86939
1990,Eurafrica,fosil,126.32081
1991,America,fosil,94.34679
1991,Asia-Oceania,fosil,83.15284
1991,Eurafrica,fosil,122.56598
1992,America,fosil,96.40297000000001
1992,Asia-Oceania,fosil,93.64298
1992,Eurafrica,fosil,109.28453
1993,America,fosil,96.37510999999999
1993,Asia-Oceania,fosil,92.36054
1993,Eurafrica,fosil,103.68292
1994,America,fosil,100.81701000000001
1994,Asia-Oceania,fosil,101.91667
1994,Eurafrica,fosil,102.21048
1995,America,fosil,102.39247
1995,Asia-Oceania,fosil,106.50876
1995,Eurafrica,fosil,102.28052
1996,America,fosil,106.00365000000001
1996,Asia-Oceania,fosil,110.9178
1996,Eurafrica,fosil,102.01545
1997,America,fosil,108.26043
1997,Asia-Oceania,fosil,113.31599
1997,Eurafrica,fosil,100.28317999999999
1998,America,fosil,109.63859000000001
1998,Asia-Oceania,fosil,113.69528
1998,Eurafrica,fosil,100.24360999999999
1999,America,fosil,111.13029
1999,Asia-Oceania,fosil,118.04935
1999,Eurafrica,fosil,101.01819
2000,America,fosil,114.03913999999999
2000,Asia-Oceania,fosil,123.87997999999999
2000,Eurafrica,fosil,102.54147
2001,America,fosil,112.53492
2001,Asia-Oceania,fosil,126.60813999999999
2001,Eurafrica,fosil,103.27708000000001
