year,region,energia,value,economia
1980,America,renovable,5.57754,advanced
1981,America,renovable,5.59067,advanced
1982,America,renovable,6.00849,advanced
1983,America,renovable,6.38661,advanced
1984,America,renovable,6.45758,advanced
1985,America,renovable,6.24134,advanced
1986,America,renovable,6.42361,advanced
1987,America,renovable,6.04834,advanced
1988,America,renovable,5.61534,advanced
1989,America,renovable,6.583819999999999,advanced
1990,America,renovable,7.02763,advanced
1991,America,renovable,7.1758500000000005,advanced
1992,America,renovable,6.90831,advanced
1993,America,renovable,7.260730000000001,advanced
1994,America,renovable,7.151120000000001,advanced
1995,America,renovable,7.70731,advanced
1996,America,renovable,8.3525,advanced
1997,America,renovable,8.3067,advanced
1998,America,renovable,7.75312,advanced
1999,America,renovable,7.91826,advanced
2000,America,renovable,7.59675,advanced
2001,America,renovable,6.83563,advanced
2002,America,renovable,7.62786,advanced
2003,America,renovable,7.505669999999999,advanced
2004,America,renovable,7.22004,advanced
2005,America,renovable,7.48138,advanced
2006,America,renovable,7.61215,advanced
2007,America,renovable,7.41455,advanced
2008,America,renovable,7.77911,advanced
2009,America,renovable,8.01087,advanced
2010,America,renovable,8.01009,advanced
2011,America,renovable,9.13814,advanced
2012,America,renovable,8.823509999999999,advanced
1980,America,renovable,2.3226,emerging
1981,America,renovable,2.4455,emerging
1982,America,renovable,2.63467,emerging
1983,America,renovable,2.82883,emerging
1984,America,renovable,3.0839000000000003,emerging
1985,America,renovable,3.33501,emerging
1986,America,renovable,3.53648,emerging
1987,America,renovable,3.66601,emerging
1988,America,renovable,3.8002900000000004,emerging
1989,America,renovable,3.9633899999999995,emerging
1990,America,renovable,4.1527400000000005,emerging
1991,America,renovable,4.38035,emerging
1992,America,renovable,4.49389,emerging
1993,America,renovable,4.79131,emerging
1994,America,renovable,4.98807,emerging
1995,America,renovable,5.2317100000000005,emerging
1996,America,renovable,5.491630000000001,emerging
1997,America,renovable,5.6278,emerging
1998,America,renovable,5.69539,emerging
1999,America,renovable,5.829,emerging
2000,America,renovable,6.13021,emerging
2001,America,renovable,5.82615,emerging
2002,America,renovable,5.96511,emerging
2003,America,renovable,6.15816,emerging
2004,America,renovable,6.385149999999999,emerging
2005,America,renovable,6.75694,emerging
2006,America,renovable,7.02243,emerging
2007,America,renovable,7.24015,emerging
2008,America,renovable,7.40026,emerging
2009,America,renovable,7.4389,emerging
2010,America,renovable,7.649100000000001,emerging
2011,America,renovable,8.0516,emerging
2012,America,renovable,7.79899,emerging
1980,Asia-Oceania,renovable,1.52177,advanced
1981,Asia-Oceania,renovable,1.59687,advanced
1982,Asia-Oceania,renovable,1.71614,advanced
1983,Asia-Oceania,renovable,1.8918300000000001,advanced
1984,Asia-Oceania,renovable,1.78087,advanced
1985,Asia-Oceania,renovable,1.94488,advanced
1986,Asia-Oceania,renovable,1.95658,advanced
1987,Asia-Oceania,renovable,1.95791,advanced
1988,Asia-Oceania,renovable,2.20793,advanced
1989,Asia-Oceania,renovable,2.3474700000000004,advanced
1990,Asia-Oceania,renovable,2.3489199999999997,advanced
1991,Asia-Oceania,renovable,2.43157,advanced
1992,Asia-Oceania,renovable,2.3251299999999997,advanced
1993,Asia-Oceania,renovable,2.64514,advanced
1994,Asia-Oceania,renovable,2.53777,advanced
1995,Asia-Oceania,renovable,2.93867,advanced
1996,Asia-Oceania,renovable,2.9293199999999997,advanced
1997,Asia-Oceania,renovable,3.09328,advanced
1998,Asia-Oceania,renovable,3.21404,advanced
1999,Asia-Oceania,renovable,3.25615,advanced
2000,Asia-Oceania,renovable,3.35248,advanced
2001,Asia-Oceania,renovable,3.93325,advanced
2002,Asia-Oceania,renovable,3.9775300000000002,advanced
2003,Asia-Oceania,renovable,4.06458,advanced
2004,Asia-Oceania,renovable,4.71771,advanced
2005,Asia-Oceania,renovable,5.018940000000001,advanced
2006,Asia-Oceania,renovable,5.4946399999999995,advanced
2007,Asia-Oceania,renovable,5.858029999999999,advanced
2008,Asia-Oceania,renovable,6.92588,advanced
2009,Asia-Oceania,renovable,7.2820599999999995,advanced
2010,Asia-Oceania,renovable,8.64535,advanced
2011,Asia-Oceania,renovable,8.92186,advanced
2012,Asia-Oceania,renovable,10.7139,advanced
1980,Asia-Oceania,renovable,1.47534,emerging
1981,Asia-Oceania,renovable,1.61788,emerging
1982,Asia-Oceania,renovable,1.62156,emerging
1983,Asia-Oceania,renovable,1.6446800000000001,emerging
1984,Asia-Oceania,renovable,1.78101,emerging
1985,Asia-Oceania,renovable,1.79776,emerging
1986,Asia-Oceania,renovable,1.91997,emerging
1987,Asia-Oceania,renovable,1.92035,emerging
1988,Asia-Oceania,renovable,2.17481,emerging
1989,Asia-Oceania,renovable,2.21018,emerging
1990,Asia-Oceania,renovable,2.41203,emerging
1991,Asia-Oceania,renovable,2.43288,emerging
1992,Asia-Oceania,renovable,2.98667,emerging
1993,Asia-Oceania,renovable,3.12753,emerging
1994,Asia-Oceania,renovable,3.3362,emerging
1995,Asia-Oceania,renovable,3.28538,emerging
1996,Asia-Oceania,renovable,3.29902,emerging
1997,Asia-Oceania,renovable,3.19998,emerging
1998,Asia-Oceania,renovable,3.3746099999999997,emerging
1999,Asia-Oceania,renovable,3.36001,emerging
2000,Asia-Oceania,renovable,3.31844,emerging
2001,Asia-Oceania,renovable,3.35643,emerging
2002,Asia-Oceania,renovable,3.43404,emerging
2003,Asia-Oceania,renovable,3.75905,emerging
2004,Asia-Oceania,renovable,3.97428,emerging
2005,Asia-Oceania,renovable,4.29225,emerging
2006,Asia-Oceania,renovable,4.5481300000000005,emerging
2007,Asia-Oceania,renovable,4.58986,emerging
2008,Asia-Oceania,renovable,4.39007,emerging
2009,Asia-Oceania,renovable,4.46,emerging
2010,Asia-Oceania,renovable,5.03204,emerging
2011,Asia-Oceania,renovable,5.5632,emerging
2012,Asia-Oceania,renovable,5.54137,emerging
1980,Eurafrica,renovable,5.1449,advanced
1981,Eurafrica,renovable,5.09961,advanced
1982,Eurafrica,renovable,4.93199,advanced
1983,Eurafrica,renovable,5.065099999999999,advanced
1984,Eurafrica,renovable,5.38931,advanced
