year,region,energia,value,economia
1985,Eurafrica,renovable,5.41112,advanced
1986,Eurafrica,renovable,5.36556,advanced
1987,Eurafrica,renovable,5.5449,advanced
1988,Eurafrica,renovable,5.884510000000001,advanced
1989,Eurafrica,renovable,5.24709,advanced
1990,Eurafrica,renovable,5.4274,advanced
1991,Eurafrica,renovable,5.82119,advanced
1992,Eurafrica,renovable,5.34607,advanced
1993,Eurafrica,renovable,5.43916,advanced
1994,Eurafrica,renovable,5.59555,advanced
1995,Eurafrica,renovable,5.6360399999999995,advanced
1996,Eurafrica,renovable,5.472189999999999,advanced
1997,Eurafrica,renovable,5.5565999999999995,advanced
1998,Eurafrica,renovable,5.74995,advanced
1999,Eurafrica,renovable,5.82214,advanced
2000,Eurafrica,renovable,6.07584,advanced
2001,Eurafrica,renovable,6.57604,advanced
2002,Eurafrica,renovable,5.89421,advanced
2003,Eurafrica,renovable,5.81773,advanced
2004,Eurafrica,renovable,6.40806,advanced
2005,Eurafrica,renovable,6.36144,advanced
2006,Eurafrica,renovable,6.44927,advanced
2007,Eurafrica,renovable,6.7729,advanced
2008,Eurafrica,renovable,7.03928,advanced
2009,Eurafrica,renovable,7.3963,advanced
2010,Eurafrica,renovable,8.1322,advanced
2011,Eurafrica,renovable,7.97395,advanced
2012,Eurafrica,renovable,8.46526,advanced
1980,Eurafrica,renovable,2.1753,emerging
1981,Eurafrica,renovable,2.24729,emerging
1982,Eurafrica,renovable,2.24942,emerging
1983,Eurafrica,renovable,2.35983,emerging
1984,Eurafrica,renovable,2.23377,emerging
1985,Eurafrica,renovable,2.22566,emerging
1986,Eurafrica,renovable,2.22165,emerging
1987,Eurafrica,renovable,2.3366000000000002,emerging
1988,Eurafrica,renovable,2.4137,emerging
1989,Eurafrica,renovable,2.47249,emerging
1990,Eurafrica,renovable,2.51049,emerging
1991,Eurafrica,renovable,2.21984,emerging
1992,Eurafrica,renovable,2.39133,emerging
1993,Eurafrica,renovable,2.45214,emerging
1994,Eurafrica,renovable,2.46019,emerging
1995,Eurafrica,renovable,2.54388,emerging
1996,Eurafrica,renovable,2.34424,emerging
1997,Eurafrica,renovable,2.46724,emerging
1998,Eurafrica,renovable,2.57834,emerging
1999,Eurafrica,renovable,2.84309,emerging
2000,Eurafrica,renovable,3.00921,emerging
2001,Eurafrica,renovable,2.96736,emerging
2002,Eurafrica,renovable,2.97061,emerging
2003,Eurafrica,renovable,2.70833,emerging
2004,Eurafrica,renovable,2.82675,emerging
2005,Eurafrica,renovable,3.12346,emerging
2006,Eurafrica,renovable,3.1285600000000002,emerging
2007,Eurafrica,renovable,3.26986,emerging
2008,Eurafrica,renovable,3.4341299999999997,emerging
2009,Eurafrica,renovable,3.3870400000000003,emerging
2010,Eurafrica,renovable,3.50218,emerging
2011,Eurafrica,renovable,3.45777,emerging
2012,Eurafrica,renovable,3.71644,emerging
