year,region,energia,value
1980,America,renovable,7.90014
1980,Asia-Oceania,renovable,2.9971099999999997
1980,Eurafrica,renovable,7.3202
1981,America,renovable,8.03617
1981,Asia-Oceania,renovable,3.21475
1981,Eurafrica,renovable,7.3469
1982,America,renovable,8.64316
1982,Asia-Oceania,renovable,3.3377
1982,Eurafrica,renovable,7.18141
1983,America,renovable,9.215440000000001
1983,Asia-Oceania,renovable,3.53651
1983,Eurafrica,renovable,7.42493
1984,America,renovable,9.54148
1984,Asia-Oceania,renovable,3.56188
1984,Eurafrica,renovable,7.62308
1985,America,renovable,9.57635
1985,Asia-Oceania,renovable,3.74264
1985,Eurafrica,renovable,7.63678
1986,America,renovable,9.960090000000001
1986,Asia-Oceania,renovable,3.87655
1986,Eurafrica,renovable,7.58721
1987,America,renovable,9.71435
1987,Asia-Oceania,renovable,3.87826
1987,Eurafrica,renovable,7.8815
1988,America,renovable,9.41563
1988,Asia-Oceania,renovable,4.38274
1988,Eurafrica,renovable,8.29821
1989,America,renovable,10.54721
1989,Asia-Oceania,renovable,4.55765
1989,Eurafrica,renovable,7.71958
1990,America,renovable,11.18037
1990,Asia-Oceania,renovable,4.760949999999999
1990,Eurafrica,renovable,7.9378899999999994
1991,America,renovable,11.5562
1991,Asia-Oceania,renovable,4.86445
1991,Eurafrica,renovable,8.041030000000001
1992,America,renovable,11.4022
1992,Asia-Oceania,renovable,5.3118
1992,Eurafrica,renovable,7.7374
1993,America,renovable,12.05204
1993,Asia-Oceania,renovable,5.77267
1993,Eurafrica,renovable,7.8913
1994,America,renovable,12.13919
1994,Asia-Oceania,renovable,5.87397
1994,Eurafrica,renovable,8.05574
1995,America,renovable,12.939020000000001
1995,Asia-Oceania,renovable,6.22405
1995,Eurafrica,renovable,8.17992
1996,America,renovable,13.84413
1996,Asia-Oceania,renovable,6.22834
1996,Eurafrica,renovable,7.81643
1997,America,renovable,13.9345
1997,Asia-Oceania,renovable,6.29326
1997,Eurafrica,renovable,8.02384
1998,America,renovable,13.44851
1998,Asia-Oceania,renovable,6.5886499999999995
1998,Eurafrica,renovable,8.32829
1999,America,renovable,13.747259999999999
1999,Asia-Oceania,renovable,6.61616
1999,Eurafrica,renovable,8.665230000000001
2000,America,renovable,13.72696
2000,Asia-Oceania,renovable,6.67092
2000,Eurafrica,renovable,9.085049999999999
2001,America,renovable,12.66178
2001,Asia-Oceania,renovable,7.289680000000001
2001,Eurafrica,renovable,9.5434
2002,America,renovable,13.59297
2002,Asia-Oceania,renovable,7.41157
2002,Eurafrica,renovable,8.86482
2003,America,renovable,13.663829999999999
2003,Asia-Oceania,renovable,7.82363
2003,Eurafrica,renovable,8.52606
2004,America,renovable,13.60519
2004,Asia-Oceania,renovable,8.69199
2004,Eurafrica,renovable,9.23481
2005,America,renovable,14.23832
2005,Asia-Oceania,renovable,9.31119
2005,Eurafrica,renovable,9.4849
2006,America,renovable,14.63458
2006,Asia-Oceania,renovable,10.04277
2006,Eurafrica,renovable,9.57783
2007,America,renovable,14.6547
2007,Asia-Oceania,renovable,10.44789
2007,Eurafrica,renovable,10.04276
2008,America,renovable,15.17937
2008,Asia-Oceania,renovable,11.315949999999999
2008,Eurafrica,renovable,10.47341
2009,America,renovable,15.44977
2009,Asia-Oceania,renovable,11.74206
2009,Eurafrica,renovable,10.78334
2010,America,renovable,15.659189999999999
2010,Asia-Oceania,renovable,13.67739
2010,Eurafrica,renovable,11.63438
2011,America,renovable,17.18974
2011,Asia-Oceania,renovable,14.48506
2011,Eurafrica,renovable,11.43172
2012,America,renovable,16.6225
2012,Asia-Oceania,renovable,16.25527
2012,Eurafrica,renovable,12.1817
