year,climate_model,scenario,region,variable,value
1850,CESM2-WACCM,ssp126,america,co2,286.33736656047404
1851,CESM2-WACCM,ssp126,america,co2,286.38835647143424
1852,CESM2-WACCM,ssp126,america,co2,286.4569833036512
1853,CESM2-WACCM,ssp126,america,co2,286.57898656092584
1854,CESM2-WACCM,ssp126,america,co2,286.6966824512929
1855,CESM2-WACCM,ssp126,america,co2,286.78274247795343
1856,CESM2-WACCM,ssp126,america,co2,286.92084015347064
1857,CESM2-WACCM,ssp126,america,co2,287.0509633794427
1858,CESM2-WACCM,ssp126,america,co2,287.1722972486168
1859,CESM2-WACCM,ssp126,america,co2,287.3335324693471
1860,CESM2-WACCM,ssp126,america,co2,287.5096397474408
1861,CESM2-WACCM,ssp126,america,co2,287.6413054764271
1862,CESM2-WACCM,ssp126,america,co2,287.80970023944974
1863,CESM2-WACCM,ssp126,america,co2,287.96872356906533
1864,CESM2-WACCM,ssp126,america,co2,288.14104734919965
1865,CESM2-WACCM,ssp126,america,co2,288.32178213633597
1866,CESM2-WACCM,ssp126,america,co2,288.5189023800194
1867,CESM2-WACCM,ssp126,america,co2,288.6961156036705
1868,CESM2-WACCM,ssp126,america,co2,288.87970256619155
1869,CESM2-WACCM,ssp126,america,co2,288.99218887090683
1870,CESM2-WACCM,ssp126,america,co2,289.1377080231905
1871,CESM2-WACCM,ssp126,america,co2,289.2935590352863
1872,CESM2-WACCM,ssp126,america,co2,289.42443896085024
1873,CESM2-WACCM,ssp126,america,co2,289.6249061450362
1874,CESM2-WACCM,ssp126,america,co2,289.7990634664893
1875,CESM2-WACCM,ssp126,america,co2,290.0066028814763
1876,CESM2-WACCM,ssp126,america,co2,290.2041596826166
1877,CESM2-WACCM,ssp126,america,co2,290.4276771005243
1878,CESM2-WACCM,ssp126,america,co2,290.66577553749084
1879,CESM2-WACCM,ssp126,america,co2,290.93961347825825
1880,CESM2-WACCM,ssp126,america,co2,291.12331685610116
1881,CESM2-WACCM,ssp126,america,co2,291.36810917407274
1882,CESM2-WACCM,ssp126,america,co2,291.6533558163792
1883,CESM2-WACCM,ssp126,america,co2,291.93100635893643
1884,CESM2-WACCM,ssp126,america,co2,292.1350533142686
1885,CESM2-WACCM,ssp126,america,co2,292.4575819633901
1886,CESM2-WACCM,ssp126,america,co2,292.73523250594735
1887,CESM2-WACCM,ssp126,america,co2,293.0348564404994
1888,CESM2-WACCM,ssp126,america,co2,293.32804842852056
1889,CESM2-WACCM,ssp126,america,co2,293.639866868034
1890,CESM2-WACCM,ssp126,america,co2,293.9789555966854
1891,CESM2-WACCM,ssp126,america,co2,294.32293376885355
1892,CESM2-WACCM,ssp126,america,co2,294.6377207990736
1893,CESM2-WACCM,ssp126,america,co2,294.9753834400326
1894,CESM2-WACCM,ssp126,america,co2,295.3287912532687
1895,CESM2-WACCM,ssp126,america,co2,295.6472453661263
1896,CESM2-WACCM,ssp126,america,co2,295.9268749691546
1897,CESM2-WACCM,ssp126,america,co2,296.244426863268
1898,CESM2-WACCM,ssp126,america,co2,296.59425490535796
1899,CESM2-WACCM,ssp126,america,co2,296.923506539315
1900,CESM2-WACCM,ssp126,america,co2,297.27668152190745
1901,CESM2-WACCM,ssp126,america,co2,297.60930920019746
1902,CESM2-WACCM,ssp126,america,co2,297.9186538141221
1903,CESM2-WACCM,ssp126,america,co2,298.24176453985274
1904,CESM2-WACCM,ssp126,america,co2,298.61164512112737
1905,CESM2-WACCM,ssp126,america,co2,298.9090862683952
1906,CESM2-WACCM,ssp126,america,co2,299.2769586853683
1907,CESM2-WACCM,ssp126,america,co2,299.68819580972195
1908,CESM2-WACCM,ssp126,america,co2,300.03482243046165
1909,CESM2-WACCM,ssp126,america,co2,300.43849255889654
1910,CESM2-WACCM,ssp126,america,co2,300.87982304394245
1911,CESM2-WACCM,ssp126,america,co2,301.3232781086117
1912,CESM2-WACCM,ssp126,america,co2,301.8127754330635
1913,CESM2-WACCM,ssp126,america,co2,302.3091412615031
1914,CESM2-WACCM,ssp126,america,co2,302.77686892077327
1915,CESM2-WACCM,ssp126,america,co2,303.26415435411036
1916,CESM2-WACCM,ssp126,america,co2,303.83295961655676
1917,CESM2-WACCM,ssp126,america,co2,304.37237001024187
1918,CESM2-WACCM,ssp126,america,co2,304.87996991723776
1919,CESM2-WACCM,ssp126,america,co2,305.26527552865446
1920,CESM2-WACCM,ssp126,america,co2,305.74225820600986
1921,CESM2-WACCM,ssp126,america,co2,306.1643219552934
1922,CESM2-WACCM,ssp126,america,co2,306.5620257984847
1923,CESM2-WACCM,ssp126,america,co2,306.88612605445087
1924,CESM2-WACCM,ssp126,america,co2,307.3255647905171
1925,CESM2-WACCM,ssp126,america,co2,307.5843851547688
1926,CESM2-WACCM,ssp126,america,co2,307.79134249314666
1927,CESM2-WACCM,ssp126,america,co2,308.03732806816697
1928,CESM2-WACCM,ssp126,america,co2,308.2684415858239
1929,CESM2-WACCM,ssp126,america,co2,308.4288618993014
1930,CESM2-WACCM,ssp126,america,co2,308.5757198277861
1931,CESM2-WACCM,ssp126,america,co2,308.8341327384114
1932,CESM2-WACCM,ssp126,america,co2,309.03646256774664
1933,CESM2-WACCM,ssp126,america,co2,309.2952829319984
1934,CESM2-WACCM,ssp126,america,co2,309.6010477747768
1935,CESM2-WACCM,ssp126,america,co2,309.9826571997255
1936,CESM2-WACCM,ssp126,america,co2,310.6280928477645
1937,CESM2-WACCM,ssp126,america,co2,311.1825499217957
1938,CESM2-WACCM,ssp126,america,co2,311.74515606835485
1939,CESM2-WACCM,ssp126,america,co2,312.2983907815069
